countries,cases,deaths,popData2018,cont
Spain,213024,22157,46723749.0,2
Sri_Lanka,368,7,21670000.0,1
Sudan,162,13,41801533.0,3
Suriname,10,1,575991.0,4
Sweden,16755,2021,10183175.0,2
Switzerland,28414,1267,8516543.0,2
Syria,42,3,16906283.0,1
Taiwan,427,6,23780452.0,1
Thailand,2839,50,69428524.0,1
Timor_Leste,23,0,1267972.0,1
Togo,88,6,7889094.0,3
Trinidad_and_Tobago,115,8,1389858.0,4
Tunisia,918,38,11565204.0,3
Turkey,101790,2491,82319724.0,1
Turks_and_Caicos_islands,11,1,31458.0,4
Uganda,74,0,42723139.0,3
Ukraine,7647,193,44622516.0,2
United_Arab_Emirates,8756,56,9630959.0,1
United_Kingdom,138078,18738,66488991.0,2
United_Republic_of_Tanzania,285,10,56318348.0,3
United_States_Virgin_Islands,54,3,106977.0,4
United_States_of_America,869172,49963,327167434.0,4
Uruguay,557,12,3449299.0,4
Uzbekistan,1778,7,32955400.0,1
Venezuela,298,10,28870195.0,4
Vietnam,268,0,95540395.0,1
Yemen,1,0,28498687.0,1
Zambia,76,3,17351822.0,3
Zimbabwe,29,3,14439018.0,3
